franchise,first_record_at,last_record_at,records,granularity,uncached_input,cache_read,cache_write,output,unknown_category_records
b4-anthropic,2026-09-08T17:41:10.870000+00:00,2026-09-11T03:07:59.857000+00:00,328,"{""call"": 328}",164646,30032668,1868273,316886,{}
b4-deepseek,2026-09-08T17:34:07+00:00,2026-09-11T03:09:25+00:00,598,"{""call"": 598}",2468950,40945920,UNKNOWN,300438,"{""cacheWrite"": 598}"
b4-google,2026-09-08T17:34:07.789000+00:00,2026-09-11T03:09:05.867000+00:00,1455,"{""message-aggregate"": 1455}",21573051,112478761,UNKNOWN,829262,"{""cacheWrite"": 1455}"
b4-kimi,2026-09-08T17:34:12.656000+00:00,2026-09-11T19:38:42.332000+00:00,875,"{""call"": 875}",3366222,58874624,0,441499,{}
b4-meta,2026-09-08T17:34:09+00:00,2026-09-11T03:56:53+00:00,755,"{""call"": 755}",5899901,34592325,UNKNOWN,332235,"{""cacheWrite"": 755}"
b4-minimax,2026-09-08T17:42:23.813000+00:00,2026-09-11T03:09:30.797000+00:00,763,"{""call"": 763}",2721801,38922200,0,539325,{}
b4-mistral,2026-09-08T17:50:04.428334+00:00,2026-09-11T03:09:14.719359+00:00,46,"{""session-aggregate"": 46}",13924494,138188928,UNKNOWN,779760,"{""cacheWrite"": 46}"
b4-openai,2026-09-08T17:36:29.671000+00:00,2026-09-11T03:08:01.771000+00:00,318,"{""call"": 318}",1661642,31379584,0,74177,{}
b4-qwen,2026-09-08T17:34:10.503000+00:00,2026-09-11T03:10:28.993000+00:00,2345,"{""call"": 2345}",13049273,277182848,UNKNOWN,2707924,"{""cacheWrite"": 2345}"
b4-xai,2026-09-08T17:42:35+00:00,2026-09-11T04:31:19+00:00,72,"{""turn-aggregate"": 72}",5806034,51130880,0,355963,{}
b4-zai,2026-09-08T17:34:11.747000+00:00,2026-09-11T03:09:43.857000+00:00,679,"{""call"": 679}",5498713,41074240,0,179593,{}
